"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
589454 Doloplazy 459 244 244 "Občanská demokratická aliance" 0
589454 Doloplazy 459 244 244 "Česká pirátská strana" 12
589462 Drahany 443 290 287 "Občanská demokratická strana" 11
589462 Drahany 443 290 287 "Řád národa - Vlastenecká unie" 0
589462 Drahany 443 290 287 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589462 Drahany 443 290 287 "Česká str.sociálně demokrat." 29
589462 Drahany 443 290 287 "Radostné Česko" 0
589462 Drahany 443 290 287 "STAROSTOVÉ A NEZÁVISLÍ" 28
589462 Drahany 443 290 287 "Komunistická str.Čech a Moravy" 44
589462 Drahany 443 290 287 "Strana zelených" 2
589462 Drahany 443 290 287 "ROZUMNÍ-stop migraci,diktát.EU" 6
589462 Drahany 443 290 287 "Strana svobodných občanů" 6
589462 Drahany 443 290 287 "Blok proti islam.-Obran.domova" 0
589462 Drahany 443 290 287 "Občanská demokratická aliance" 0
589462 Drahany 443 290 287 "Česká pirátská strana" 9
558419 Držovice 1 139 748 742 "Občanská demokratická strana" 78
558419 Držovice 1 139 748 742 "Řád národa - Vlastenecká unie" 1
558419 Držovice 1 139 748 742 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
558419 Držovice 1 139 748 742 "Česká str.sociálně demokrat." 42
558419 Držovice 1 139 748 742 "Radostné Česko" 3
558419 Držovice 1 139 748 742 "STAROSTOVÉ A NEZÁVISLÍ" 40
558419 Držovice 1 139 748 742 "Komunistická str.Čech a Moravy" 45
558419 Držovice 1 139 748 742 "Strana zelených" 4
558419 Držovice 1 139 748 742 "ROZUMNÍ-stop migraci,diktát.EU" 6
558419 Držovice 1 139 748 742 "Strana svobodných občanů" 5
558419 Držovice 1 139 748 742 "Blok proti islam.-Obran.domova" 0
558419 Držovice 1 139 748 742 "Občanská demokratická aliance" 9
558419 Držovice 1 139 748 742 "Česká pirátská strana" 60
589489 Dřevnovice 380 220 219 "Občanská demokratická strana" 6
589489 Dřevnovice 380 220 219 "Řád národa - Vlastenecká unie" 0
589489 Dřevnovice 380 220 219 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589489 Dřevnovice 380 220 219 "Česká str.sociálně demokrat." 15
589489 Dřevnovice 380 220 219 "Radostné Česko" 0
589489 Dřevnovice 380 220 219 "STAROSTOVÉ A NEZÁVISLÍ" 4
589489 Dřevnovice 380 220 219 "Komunistická str.Čech a Moravy" 28
589489 Dřevnovice 380 220 219 "Strana zelených" 1
589489 Dřevnovice 380 220 219 "ROZUMNÍ-stop migraci,diktát.EU" 1
589489 Dřevnovice 380 220 219 "Strana svobodných občanů" 0
589489 Dřevnovice 380 220 219 "Blok proti islam.-Obran.domova" 0
589489 Dřevnovice 380 220 219 "Občanská demokratická aliance" 0
589489 Dřevnovice 380 220 219 "Česká pirátská strana" 24
589497 Dzbel 209 133 133 "Občanská demokratická strana" 2
589497 Dzbel 209 133 133 "Řád národa - Vlastenecká unie" 1
589497 Dzbel 209 133 133 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589497 Dzbel 209 133 133 "Česká str.sociálně demokrat." 11
589497 Dzbel 209 133 133 "Radostné Česko" 0
589497 Dzbel 209 133 133 "STAROSTOVÉ A NEZÁVISLÍ" 5
589497 Dzbel 209 133 133 "Komunistická str.Čech a Moravy" 22
589497 Dzbel 209 133 133 "Strana zelených" 0
589497 Dzbel 209 133 133 "ROZUMNÍ-stop migraci,diktát.EU" 1
589497 Dzbel 209 133 133 "Strana svobodných občanů" 1
589497 Dzbel 209 133 133 "Blok proti islam.-Obran.domova" 0
589497 Dzbel 209 133 133 "Občanská demokratická aliance" 0
589497 Dzbel 209 133 133 "Česká pirátská strana" 6
549967 Hačky 83 67 65 "Občanská demokratická strana" 4
549967 Hačky 83 67 65 "Řád národa - Vlastenecká unie" 0
549967 Hačky 83 67 65 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 1
549967 Hačky 83 67 65 "Česká str.sociálně demokrat." 10
549967 Hačky 83 67 65 "Radostné Česko" 1
549967 Hačky 83 67 65 "STAROSTOVÉ A NEZÁVISLÍ" 4
549967 Hačky 83 67 65 "Komunistická str.Čech a Moravy" 0
549967 Hačky 83 67 65 "Strana zelených" 0
549967 Hačky 83 67 65 "ROZUMNÍ-stop migraci,diktát.EU" 0
549967 Hačky 83 67 65 "Strana svobodných občanů" 3
549967 Hačky 83 67 65 "Blok proti islam.-Obran.domova" 0
549967 Hačky 83 67 65 "Občanská demokratická aliance" 0
549967 Hačky 83 67 65 "Česká pirátská strana" 0
589501 Hluchov 292 174 173 "Občanská demokratická strana" 9
589501 Hluchov 292 174 173 "Řád národa - Vlastenecká unie" 0
589501 Hluchov 292 174 173 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589501 Hluchov 292 174 173 "Česká str.sociálně demokrat." 9
589501 Hluchov 292 174 173 "Radostné Česko" 0
589501 Hluchov 292 174 173 "STAROSTOVÉ A NEZÁVISLÍ" 4
589501 Hluchov 292 174 173 "Komunistická str.Čech a Moravy" 25
589501 Hluchov 292 174 173 "Strana zelených" 5
589501 Hluchov 292 174 173 "ROZUMNÍ-stop migraci,diktát.EU" 0
589501 Hluchov 292 174 173 "Strana svobodných občanů" 6
589501 Hluchov 292 174 173 "Blok proti islam.-Obran.domova" 0
589501 Hluchov 292 174 173 "Občanská demokratická aliance" 0
589501 Hluchov 292 174 173 "Česká pirátská strana" 7
589519 "Horní Štěpánov" 749 454 452 "Občanská demokratická strana" 16
589519 "Horní Štěpánov" 749 454 452 "Řád národa - Vlastenecká unie" 0
589519 "Horní Štěpánov" 749 454 452 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589519 "Horní Štěpánov" 749 454 452 "Česká str.sociálně demokrat." 56
589519 "Horní Štěpánov" 749 454 452 "Radostné Česko" 0
589519 "Horní Štěpánov" 749 454 452 "STAROSTOVÉ A NEZÁVISLÍ" 10
589519 "Horní Štěpánov" 749 454 452 "Komunistická str.Čech a Moravy" 48
589519 "Horní Štěpánov" 749 454 452 "Strana zelených" 1
